Epoch 1: Loss = 10662.0268, NME = 0.0649, Pixel Error = 929.8849
Epoch 2: Loss = 4359.6615, NME = 0.0366, Pixel Error = 531.6086
Epoch 3: Loss = 2276.0021, NME = 0.0303, Pixel Error = 438.5480
Epoch 4: Loss = 1429.7207, NME = 0.0218, Pixel Error = 330.5141
Epoch 5: Loss = 964.1623, NME = 0.0179, Pixel Error = 261.3153
Epoch 6: Loss = 1172.7989, NME = 0.0187, Pixel Error = 271.9706
Epoch 7: Loss = 592.9921, NME = 0.0143, Pixel Error = 208.2590
Epoch 8: Loss = 542.7693, NME = 0.0132, Pixel Error = 184.7956
Epoch 9: Loss = 675.3588, NME = 0.0131, Pixel Error = 184.8149
Epoch 10: Loss = 486.6178, NME = 0.0125, Pixel Error = 182.6503
Epoch 11: Loss = 504.0742, NME = 0.0127, Pixel Error = 181.4426
Epoch 12: Loss = 552.2414, NME = 0.0131, Pixel Error = 188.6637
Epoch 13: Loss = 427.9102, NME = 0.0120, Pixel Error = 169.2909
Epoch 14: Loss = 404.8963, NME = 0.0116, Pixel Error = 165.9477
Epoch 15: Loss = 447.1385, NME = 0.0122, Pixel Error = 175.6280
Epoch 16: Loss = 376.9985, NME = 0.0117, Pixel Error = 163.4678
Epoch 17: Loss = 380.1294, NME = 0.0114, Pixel Error = 163.7168
Epoch 18: Loss = 427.7910, NME = 0.0116, Pixel Error = 162.8043
Epoch 19: Loss = 369.7292, NME = 0.0111, Pixel Error = 158.4897
Epoch 20: Loss = 308.6351, NME = 0.0106, Pixel Error = 147.9445
Epoch 21: Loss = 309.0766, NME = 0.0104, Pixel Error = 147.3220
Epoch 22: Loss = 317.3420, NME = 0.0104, Pixel Error = 143.3529
Epoch 23: Loss = 312.1760, NME = 0.0105, Pixel Error = 149.5022
Epoch 24: Loss = 402.8900, NME = 0.0106, Pixel Error = 150.1569
Epoch 25: Loss = 282.5494, NME = 0.0104, Pixel Error = 144.8681
Epoch 26: Loss = 325.2149, NME = 0.0104, Pixel Error = 146.1313
Epoch 27: Loss = 341.1851, NME = 0.0105, Pixel Error = 146.6336
Epoch 28: Loss = 319.0058, NME = 0.0106, Pixel Error = 148.8908
Epoch 29: Loss = 338.4026, NME = 0.0111, Pixel Error = 155.7680
Epoch 30: Loss = 322.4369, NME = 0.0107, Pixel Error = 149.1604
Epoch 31: Loss = 296.5587, NME = 0.0102, Pixel Error = 142.5802
Epoch 32: Loss = 324.7716, NME = 0.0105, Pixel Error = 148.1402
Epoch 33: Loss = 354.3482, NME = 0.0111, Pixel Error = 155.3239
Epoch 34: Loss = 342.0297, NME = 0.0109, Pixel Error = 153.5387
Epoch 35: Loss = 317.5587, NME = 0.0103, Pixel Error = 144.3103
Epoch 36: Loss = 285.8816, NME = 0.0102, Pixel Error = 142.4330
Epoch 37: Loss = 315.1574, NME = 0.0103, Pixel Error = 144.8396
Epoch 38: Loss = 315.5419, NME = 0.0102, Pixel Error = 144.6242
Epoch 39: Loss = 383.0241, NME = 0.0120, Pixel Error = 168.5417
Epoch 40: Loss = 388.3498, NME = 0.0114, Pixel Error = 161.3419
Epoch 41: Loss = 388.9774, NME = 0.0116, Pixel Error = 165.6696
Epoch 42: Loss = 323.2924, NME = 0.0106, Pixel Error = 152.3896
Epoch 43: Loss = 334.9758, NME = 0.0108, Pixel Error = 152.5399
Epoch 44: Loss = 335.6613, NME = 0.0109, Pixel Error = 155.2096
Epoch 45: Loss = 392.9609, NME = 0.0110, Pixel Error = 156.3639
Epoch 46: Loss = 394.1504, NME = 0.0120, Pixel Error = 166.5520
Epoch 47: Loss = 337.6297, NME = 0.0110, Pixel Error = 157.7474
Epoch 48: Loss = 353.0368, NME = 0.0114, Pixel Error = 158.2504
Epoch 49: Loss = 407.7523, NME = 0.0119, Pixel Error = 166.3783
Epoch 50: Loss = 361.1304, NME = 0.0108, Pixel Error = 152.6225
Epoch 51: Loss = 304.4722, NME = 0.0104, Pixel Error = 144.6668
Epoch 52: Loss = 327.8059, NME = 0.0106, Pixel Error = 149.3618
Epoch 53: Loss = 321.0459, NME = 0.0105, Pixel Error = 148.6740
Epoch 54: Loss = 361.6789, NME = 0.0112, Pixel Error = 159.0199
Epoch 55: Loss = 312.9198, NME = 0.0105, Pixel Error = 148.3337
Epoch 56: Loss = 299.1787, NME = 0.0107, Pixel Error = 148.5323
Epoch 57: Loss = 276.6408, NME = 0.0103, Pixel Error = 142.2518
Epoch 58: Loss = 288.2732, NME = 0.0102, Pixel Error = 144.9804
Epoch 59: Loss = 276.9549, NME = 0.0101, Pixel Error = 141.3298
Epoch 60: Loss = 298.6099, NME = 0.0101, Pixel Error = 139.3392
Epoch 61: Loss = 304.2900, NME = 0.0102, Pixel Error = 142.9691
Epoch 62: Loss = 291.5926, NME = 0.0100, Pixel Error = 140.0796
Epoch 63: Loss = 295.0126, NME = 0.0100, Pixel Error = 141.1570
Epoch 64: Loss = 362.0829, NME = 0.0114, Pixel Error = 160.8280
Epoch 65: Loss = 365.8958, NME = 0.0110, Pixel Error = 155.9891
Epoch 66: Loss = 318.5041, NME = 0.0104, Pixel Error = 144.6218
Epoch 67: Loss = 290.4585, NME = 0.0104, Pixel Error = 143.3341
Epoch 68: Loss = 299.3626, NME = 0.0101, Pixel Error = 140.8821
Epoch 69: Loss = 270.0321, NME = 0.0100, Pixel Error = 138.8532
Epoch 70: Loss = 251.8375, NME = 0.0096, Pixel Error = 134.7129
Epoch 71: Loss = 267.8028, NME = 0.0098, Pixel Error = 135.0908
Epoch 72: Loss = 249.6883, NME = 0.0094, Pixel Error = 133.8570
Epoch 73: Loss = 258.6758, NME = 0.0094, Pixel Error = 131.3687
Epoch 74: Loss = 280.9892, NME = 0.0095, Pixel Error = 137.1019
Epoch 75: Loss = 272.3812, NME = 0.0097, Pixel Error = 139.6483
Epoch 76: Loss = 271.3762, NME = 0.0088, Pixel Error = 127.7255
Epoch 77: Loss = 219.7181, NME = 0.0084, Pixel Error = 121.9457
Epoch 78: Loss = 211.6276, NME = 0.0086, Pixel Error = 124.8139
Epoch 79: Loss = 173.8469, NME = 0.0078, Pixel Error = 110.8489
Epoch 80: Loss = 178.5270, NME = 0.0073, Pixel Error = 107.3474
Epoch 81: Loss = 171.8125, NME = 0.0080, Pixel Error = 114.8092
