epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,125.077,0.67781,0.32146,1.03927,0.99857,0.99643,0.995,0.83838,0.69474,0.30686,1.00396,0.00144145,0.00144145,0.00144145
43,128.021,0.71554,0.32768,1.0426,0.98632,0.99195,0.99495,0.83022,0.73984,0.33125,1.02045,0.00143595,0.00143595,0.00143595
44,130.974,0.70686,0.32792,1.03383,0.99318,0.99979,0.995,0.81704,0.77365,0.31039,1.03645,0.00143045,0.00143045,0.00143045
45,133.924,0.69153,0.32027,1.04241,0.99486,0.9955,0.995,0.83181,0.75809,0.31095,1.02971,0.00142495,0.00142495,0.00142495
46,136.868,0.67749,0.3266,1.02309,0.99745,0.9955,0.995,0.81733,0.80222,0.32579,1.06216,0.00141945,0.00141945,0.00141945
47,139.842,0.68055,0.31952,1.02291,0.99367,0.99963,0.99496,0.83712,0.74073,0.30085,1.0152,0.00141395,0.00141395,0.00141395
48,142.807,0.66796,0.3097,1.02928,0.99113,0.95269,0.98942,0.80791,0.77439,0.46137,1.05432,0.00140845,0.00140845,0.00140845
49,145.766,0.68654,0.31345,1.02882,0.99439,0.9955,0.995,0.83992,0.72942,0.3177,1.0098,0.00140295,0.00140295,0.00140295
50,148.714,0.68617,0.31663,1.03904,0.99887,1,0.995,0.85582,0.65247,0.28252,0.979,0.00139745,0.00139745,0.00139745
51,151.705,0.65693,0.31396,1.02238,0.9983,0.99627,0.995,0.85714,0.65298,0.30283,0.98761,0.00139195,0.00139195,0.00139195
52,154.708,0.66617,0.32048,1.01305,0.99336,0.9955,0.99459,0.86416,0.63657,0.30154,0.97715,0.00138644,0.00138644,0.00138644
53,157.693,0.66494,0.30911,1.00867,0.99903,0.9955,0.995,0.84992,0.68117,0.28616,0.99411,0.00138094,0.00138094,0.00138094
54,160.644,0.67874,0.31599,1.03245,0.99163,0.9955,0.99495,0.83301,0.76086,0.31659,1.02832,0.00137544,0.00137544,0.00137544
55,163.597,0.67649,0.31078,1.02711,0.99779,0.99068,0.99495,0.84762,0.73867,0.30418,1.02,0.00136994,0.00136994,0.00136994
56,166.555,0.66079,0.30348,1.02007,0.99866,0.9955,0.995,0.85144,0.68264,0.29024,0.9967,0.00136444,0.00136444,0.00136444
57,169.504,0.66034,0.3064,1.00993,0.99933,0.99508,0.995,0.80405,0.7983,0.33273,1.05048,0.00135894,0.00135894,0.00135894
58,172.451,0.68052,0.31035,1.01792,0.99801,0.99942,0.995,0.82296,0.80073,0.30802,1.03703,0.00135344,0.00135344,0.00135344
59,175.394,0.65849,0.30303,1.01324,0.99925,0.9955,0.995,0.83769,0.72767,0.29538,1.01281,0.00134794,0.00134794,0.00134794
60,178.343,0.65186,0.29342,1.01023,0.9975,0.9955,0.995,0.85452,0.68266,0.28391,0.98797,0.00134244,0.00134244,0.00134244
