Epoch 42: Loss = 112.1271, NME = 0.0061, Pixel Error = 90.4505, Val Loss = 136.3219, Val NME = 0.0066, Val Pixel Error = 97.1911
Epoch 43: Loss = 122.5749, NME = 0.0065, Pixel Error = 94.9082, Val Loss = 138.0383, Val NME = 0.0066, Val Pixel Error = 99.8942
Epoch 44: Loss = 120.2138, NME = 0.0064, Pixel Error = 93.5215, Val Loss = 205.7027, Val NME = 0.0087, Val Pixel Error = 131.7754
Epoch 45: Loss = 111.4977, NME = 0.0062, Pixel Error = 92.0845, Val Loss = 173.1649, Val NME = 0.0078, Val Pixel Error = 113.7838
Epoch 46: Loss = 104.5934, NME = 0.0059, Pixel Error = 89.4539, Val Loss = 335.8955, Val NME = 0.0116, Val Pixel Error = 166.4169
Epoch 47: Loss = 113.0794, NME = 0.0063, Pixel Error = 90.9545, Val Loss = 104.4892, Val NME = 0.0055, Val Pixel Error = 85.2447
Epoch 48: Loss = 114.6403, NME = 0.0064, Pixel Error = 94.0264, Val Loss = 121.9228, Val NME = 0.0061, Val Pixel Error = 95.0323
Epoch 49: Loss = 111.5661, NME = 0.0062, Pixel Error = 93.3528, Val Loss = 133.3877, Val NME = 0.0065, Val Pixel Error = 97.2857
Epoch 50: Loss = 97.9097, NME = 0.0057, Pixel Error = 86.4039, Val Loss = 109.4989, Val NME = 0.0057, Val Pixel Error = 85.9407
Epoch 51: Loss = 78.3991, NME = 0.0051, Pixel Error = 74.0125, Val Loss = 106.7317, Val NME = 0.0057, Val Pixel Error = 87.0704
Epoch 52: Loss = 80.1144, NME = 0.0052, Pixel Error = 75.6388, Val Loss = 114.2902, Val NME = 0.0060, Val Pixel Error = 89.3982
Epoch 53: Loss = 82.1594, NME = 0.0053, Pixel Error = 77.5082, Val Loss = 149.1659, Val NME = 0.0072, Val Pixel Error = 107.2891
Epoch 54: Loss = 79.5327, NME = 0.0051, Pixel Error = 76.8636, Val Loss = 275.4022, Val NME = 0.0105, Val Pixel Error = 150.6413
Epoch 55: Loss = 96.0271, NME = 0.0058, Pixel Error = 84.9037, Val Loss = 125.8085, Val NME = 0.0066, Val Pixel Error = 95.3600
