epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,377.065,0.58455,0.56192,0.88868,0.93008,0.94643,0.97102,0.86573,0.50339,0.4599,0.83686,0.00144145,0.00144145,0.00144145
43,384.635,0.61583,0.57161,0.90733,0.92601,0.98214,0.99012,0.879,0.5079,0.38499,0.83437,0.00143595,0.00143595,0.00143595
44,394.032,0.58168,0.47817,0.88508,0.94095,0.97873,0.99037,0.88092,0.50465,0.37989,0.83402,0.00143045,0.00143045,0.00143045
45,403.303,0.58847,0.52076,0.89391,0.94517,0.96748,0.98934,0.87852,0.49747,0.38703,0.83732,0.00142495,0.00142495,0.00142495
46,412.536,0.59979,0.50396,0.89559,0.92993,0.89987,0.92096,0.81023,0.5295,0.54713,0.84375,0.00141945,0.00141945,0.00141945
47,419.975,0.59581,0.47246,0.89617,0.89706,0.97973,0.9813,0.88234,0.51074,0.43628,0.83998,0.00141395,0.00141395,0.00141395
48,429.282,0.59074,0.45843,0.89382,0.95539,0.96727,0.98913,0.89201,0.51195,0.37604,0.83301,0.00140845,0.00140845,0.00140845
49,438.692,0.58052,0.44038,0.89309,0.92884,0.95536,0.98038,0.88406,0.50973,0.38546,0.83428,0.00140295,0.00140295,0.00140295
50,446.229,0.58194,0.44435,0.89442,0.97833,0.98402,0.99434,0.8927,0.50989,0.32524,0.83809,0.00139745,0.00139745,0.00139745
51,455.607,0.57289,0.43558,0.88995,0.95584,0.95478,0.99039,0.89145,0.46448,0.34275,0.82742,0.00139195,0.00139195,0.00139195
52,464.784,0.584,0.44961,0.90086,0.92142,0.9977,0.99183,0.88973,0.48922,0.33024,0.83476,0.00138644,0.00138644,0.00138644
53,472.297,0.59035,0.43888,0.89149,0.9523,0.92515,0.98635,0.88162,0.4977,0.39212,0.83229,0.00138094,0.00138094,0.00138094
54,481.559,0.61176,0.44833,0.9009,0.89302,0.99107,0.98494,0.88305,0.514,0.38316,0.83466,0.00137544,0.00137544,0.00137544
55,490.917,0.59153,0.43168,0.89582,0.96905,0.97348,0.99265,0.89835,0.48908,0.34155,0.83326,0.00136994,0.00136994,0.00136994
56,500.274,0.58038,0.40656,0.89309,0.95803,0.94582,0.98592,0.88891,0.47297,0.38525,0.82743,0.00136444,0.00136444,0.00136444
57,507.798,0.56492,0.38497,0.88801,0.90059,0.9724,0.98349,0.89091,0.4686,0.41431,0.8239,0.00135894,0.00135894,0.00135894
58,517.391,0.56428,0.39944,0.89262,0.98492,0.9959,0.99491,0.91009,0.46003,0.28788,0.82761,0.00135344,0.00135344,0.00135344
59,527.323,0.57242,0.3754,0.89423,0.99294,1,0.995,0.89852,0.49654,0.30006,0.8352,0.00134794,0.00134794,0.00134794
