Epoch 1: Loss = 10997.0838, NME = 0.0596, Pixel Error = 878.0435
Epoch 2: Loss = 6974.7918, NME = 0.0556, Pixel Error = 812.3498
Epoch 3: Loss = 1280.0096, NME = 0.0213, Pixel Error = 314.8704
Epoch 4: Loss = 656.4787, NME = 0.0154, Pixel Error = 220.4810
Epoch 5: Loss = 636.4049, NME = 0.0138, Pixel Error = 198.0153
Epoch 6: Loss = 350.9645, NME = 0.0113, Pixel Error = 162.5400
Epoch 7: Loss = 324.3546, NME = 0.0107, Pixel Error = 150.3831
Epoch 8: Loss = 343.0483, NME = 0.0111, Pixel Error = 155.7045
Epoch 9: Loss = 336.0462, NME = 0.0105, Pixel Error = 150.2339
Epoch 10: Loss = 302.7571, NME = 0.0107, Pixel Error = 149.2137
Epoch 11: Loss = 312.3935, NME = 0.0103, Pixel Error = 145.2335
Epoch 12: Loss = 302.4872, NME = 0.0104, Pixel Error = 146.1496
Epoch 13: Loss = 277.7469, NME = 0.0102, Pixel Error = 142.9805
Epoch 14: Loss = 293.4557, NME = 0.0102, Pixel Error = 144.0051
Epoch 15: Loss = 303.9980, NME = 0.0104, Pixel Error = 147.4932
Epoch 16: Loss = 271.7186, NME = 0.0102, Pixel Error = 141.7843
Epoch 17: Loss = 288.3168, NME = 0.0099, Pixel Error = 138.6263
Epoch 18: Loss = 260.2111, NME = 0.0099, Pixel Error = 137.1376
Epoch 19: Loss = 272.2970, NME = 0.0098, Pixel Error = 138.4250
Epoch 20: Loss = 260.4287, NME = 0.0097, Pixel Error = 135.9496
Epoch 21: Loss = 258.0661, NME = 0.0098, Pixel Error = 138.7137
Epoch 22: Loss = 273.6272, NME = 0.0099, Pixel Error = 139.0346
Epoch 23: Loss = 260.7847, NME = 0.0099, Pixel Error = 140.3030
Epoch 24: Loss = 275.7703, NME = 0.0101, Pixel Error = 139.9691
Epoch 25: Loss = 281.3116, NME = 0.0100, Pixel Error = 141.7787
Epoch 26: Loss = 255.4012, NME = 0.0099, Pixel Error = 136.5054
Epoch 27: Loss = 273.9984, NME = 0.0098, Pixel Error = 138.4963
Epoch 28: Loss = 259.4948, NME = 0.0098, Pixel Error = 138.1197
Epoch 29: Loss = 277.7228, NME = 0.0097, Pixel Error = 136.5015
Epoch 30: Loss = 286.7759, NME = 0.0101, Pixel Error = 143.0041
Epoch 31: Loss = 249.6129, NME = 0.0098, Pixel Error = 135.1256
Epoch 32: Loss = 268.1722, NME = 0.0096, Pixel Error = 136.1376
Epoch 33: Loss = 251.6212, NME = 0.0097, Pixel Error = 133.7636
Epoch 34: Loss = 249.0024, NME = 0.0096, Pixel Error = 136.5885
Epoch 35: Loss = 262.3142, NME = 0.0097, Pixel Error = 133.7159
Epoch 36: Loss = 256.9487, NME = 0.0096, Pixel Error = 134.4661
Epoch 37: Loss = 280.4381, NME = 0.0101, Pixel Error = 142.8471
Epoch 38: Loss = 248.2891, NME = 0.0097, Pixel Error = 136.4774
Epoch 39: Loss = 251.5470, NME = 0.0096, Pixel Error = 134.3494
Epoch 40: Loss = 227.1226, NME = 0.0093, Pixel Error = 129.6289
Epoch 41: Loss = 234.3179, NME = 0.0094, Pixel Error = 129.2016
Epoch 42: Loss = 225.9353, NME = 0.0093, Pixel Error = 128.2215
Epoch 43: Loss = 211.6413, NME = 0.0090, Pixel Error = 125.1173
Epoch 44: Loss = 196.9276, NME = 0.0087, Pixel Error = 120.5337
Epoch 45: Loss = 211.7515, NME = 0.0086, Pixel Error = 121.5184
Epoch 46: Loss = 165.5950, NME = 0.0075, Pixel Error = 104.4337
Epoch 47: Loss = 150.8653, NME = 0.0067, Pixel Error = 97.3263
Epoch 48: Loss = 141.2959, NME = 0.0072, Pixel Error = 104.1227
Epoch 49: Loss = 155.9962, NME = 0.0067, Pixel Error = 97.1187
Epoch 50: Loss = 107.4920, NME = 0.0060, Pixel Error = 87.5898
Epoch 51: Loss = 117.4826, NME = 0.0062, Pixel Error = 90.4450
Epoch 52: Loss = 119.3407, NME = 0.0065, Pixel Error = 91.9521
Epoch 53: Loss = 100.3250, NME = 0.0058, Pixel Error = 85.6937
Epoch 54: Loss = 107.5828, NME = 0.0056, Pixel Error = 81.5275
Epoch 55: Loss = 103.8001, NME = 0.0058, Pixel Error = 81.3317
Epoch 56: Loss = 104.1193, NME = 0.0059, Pixel Error = 86.7968
Epoch 57: Loss = 115.7698, NME = 0.0063, Pixel Error = 91.9803
Epoch 58: Loss = 107.9427, NME = 0.0057, Pixel Error = 84.7291
Epoch 59: Loss = 97.5934, NME = 0.0057, Pixel Error = 81.6499
Epoch 60: Loss = 92.0148, NME = 0.0056, Pixel Error = 80.8613
Epoch 61: Loss = 83.6686, NME = 0.0054, Pixel Error = 77.4444
Epoch 62: Loss = 79.5375, NME = 0.0054, Pixel Error = 79.0081
Epoch 63: Loss = 97.8057, NME = 0.0053, Pixel Error = 76.1307
Epoch 64: Loss = 86.0776, NME = 0.0052, Pixel Error = 75.1210
Epoch 65: Loss = 88.6441, NME = 0.0052, Pixel Error = 75.0800
Epoch 66: Loss = 80.2440, NME = 0.0051, Pixel Error = 72.1344
Epoch 67: Loss = 73.7285, NME = 0.0048, Pixel Error = 70.0147
Epoch 68: Loss = 69.9118, NME = 0.0050, Pixel Error = 72.2640
Epoch 69: Loss = 66.2792, NME = 0.0048, Pixel Error = 69.3526
Epoch 70: Loss = 88.7164, NME = 0.0053, Pixel Error = 77.1482
Epoch 71: Loss = 86.5797, NME = 0.0053, Pixel Error = 79.2977
Epoch 72: Loss = 83.1326, NME = 0.0050, Pixel Error = 73.9529
Epoch 73: Loss = 93.3927, NME = 0.0055, Pixel Error = 79.1343
Epoch 74: Loss = 76.5045, NME = 0.0054, Pixel Error = 78.8871
Epoch 75: Loss = 153.3948, NME = 0.0062, Pixel Error = 89.9094
Epoch 76: Loss = 147.5713, NME = 0.0070, Pixel Error = 100.9474
Epoch 77: Loss = 104.5145, NME = 0.0061, Pixel Error = 88.5051
Epoch 78: Loss = 99.1090, NME = 0.0059, Pixel Error = 84.8308
Epoch 79: Loss = 90.5530, NME = 0.0056, Pixel Error = 82.3003
Epoch 80: Loss = 90.6396, NME = 0.0052, Pixel Error = 74.7189
Epoch 81: Loss = 106.8201, NME = 0.0054, Pixel Error = 77.5297
Epoch 82: Loss = 87.3549, NME = 0.0056, Pixel Error = 81.2694
Epoch 83: Loss = 83.5151, NME = 0.0055, Pixel Error = 79.4829
Epoch 84: Loss = 96.2412, NME = 0.0053, Pixel Error = 76.6852
Epoch 85: Loss = 90.6890, NME = 0.0052, Pixel Error = 75.9166
Epoch 86: Loss = 114.4570, NME = 0.0054, Pixel Error = 78.0019
Epoch 87: Loss = 117.3350, NME = 0.0061, Pixel Error = 89.4516
Epoch 88: Loss = 147.3727, NME = 0.0066, Pixel Error = 93.0151
Epoch 89: Loss = 132.5650, NME = 0.0066, Pixel Error = 98.7404
Epoch 90: Loss = 98.7926, NME = 0.0057, Pixel Error = 83.3080
Epoch 91: Loss = 78.5866, NME = 0.0052, Pixel Error = 76.8518
Epoch 92: Loss = 71.5243, NME = 0.0050, Pixel Error = 71.5262
Epoch 93: Loss = 72.1802, NME = 0.0049, Pixel Error = 72.1420
Epoch 94: Loss = 65.5825, NME = 0.0047, Pixel Error = 67.5462
Epoch 95: Loss = 98.9229, NME = 0.0053, Pixel Error = 77.8354
Epoch 96: Loss = 71.3642, NME = 0.0049, Pixel Error = 72.2730
Epoch 97: Loss = 63.4832, NME = 0.0047, Pixel Error = 68.1611
Epoch 98: Loss = 71.9396, NME = 0.0046, Pixel Error = 66.9854
Epoch 99: Loss = 71.2776, NME = 0.0048, Pixel Error = 70.5455
Epoch 100: Loss = 55.4048, NME = 0.0044, Pixel Error = 63.0709
Epoch 101: Loss = 55.1678, NME = 0.0045, Pixel Error = 65.2212
Epoch 102: Loss = 67.9337, NME = 0.0043, Pixel Error = 62.9903
Epoch 103: Loss = 57.1668, NME = 0.0045, Pixel Error = 65.5781
Epoch 104: Loss = 77.0425, NME = 0.0051, Pixel Error = 74.6181
Epoch 105: Loss = 67.0593, NME = 0.0048, Pixel Error = 71.4254
Epoch 106: Loss = 74.4681, NME = 0.0049, Pixel Error = 71.4629
Epoch 107: Loss = 77.5663, NME = 0.0052, Pixel Error = 76.8735
Epoch 108: Loss = 73.3514, NME = 0.0050, Pixel Error = 75.0702
Epoch 109: Loss = 54.0894, NME = 0.0042, Pixel Error = 61.9976
Epoch 110: Loss = 44.9438, NME = 0.0039, Pixel Error = 57.6387
Epoch 111: Loss = 50.9178, NME = 0.0039, Pixel Error = 57.1190
Epoch 112: Loss = 55.5426, NME = 0.0040, Pixel Error = 58.0954
Epoch 113: Loss = 84.7051, NME = 0.0051, Pixel Error = 71.9474
Epoch 114: Loss = 69.0576, NME = 0.0050, Pixel Error = 71.4631
Epoch 115: Loss = 63.3315, NME = 0.0046, Pixel Error = 67.8143
Epoch 116: Loss = 71.4303, NME = 0.0043, Pixel Error = 61.9541
Epoch 117: Loss = 54.3756, NME = 0.0043, Pixel Error = 61.6124
Epoch 118: Loss = 58.2214, NME = 0.0044, Pixel Error = 64.5483
Epoch 119: Loss = 58.7543, NME = 0.0042, Pixel Error = 62.4490
Epoch 120: Loss = 63.7652, NME = 0.0042, Pixel Error = 60.6806
Epoch 121: Loss = 55.6281, NME = 0.0044, Pixel Error = 63.6568
Epoch 122: Loss = 41.3965, NME = 0.0037, Pixel Error = 53.5319
Epoch 123: Loss = 34.7033, NME = 0.0035, Pixel Error = 50.6314
Epoch 124: Loss = 33.7364, NME = 0.0035, Pixel Error = 49.5475
Epoch 125: Loss = 36.5393, NME = 0.0036, Pixel Error = 50.9387
Epoch 126: Loss = 55.8924, NME = 0.0039, Pixel Error = 55.1054
Epoch 127: Loss = 51.3786, NME = 0.0040, Pixel Error = 57.8970
Epoch 128: Loss = 45.3272, NME = 0.0037, Pixel Error = 55.0213
Epoch 129: Loss = 45.3693, NME = 0.0040, Pixel Error = 57.0234
Epoch 130: Loss = 38.2002, NME = 0.0036, Pixel Error = 51.1764
Epoch 131: Loss = 36.8295, NME = 0.0034, Pixel Error = 50.1384
Epoch 132: Loss = 32.5469, NME = 0.0033, Pixel Error = 47.5248
Epoch 133: Loss = 42.4406, NME = 0.0035, Pixel Error = 49.3524
Epoch 134: Loss = 33.5150, NME = 0.0034, Pixel Error = 48.9873
Epoch 135: Loss = 33.8745, NME = 0.0037, Pixel Error = 51.7703
Epoch 136: Loss = 42.1999, NME = 0.0036, Pixel Error = 51.6928
Epoch 137: Loss = 36.7154, NME = 0.0037, Pixel Error = 52.2405
Epoch 138: Loss = 30.4676, NME = 0.0034, Pixel Error = 51.9523
Epoch 139: Loss = 36.6224, NME = 0.0035, Pixel Error = 51.2068
Epoch 140: Loss = 36.2981, NME = 0.0035, Pixel Error = 50.7248
Epoch 141: Loss = 31.6873, NME = 0.0035, Pixel Error = 50.7334
Epoch 142: Loss = 31.5736, NME = 0.0031, Pixel Error = 43.9195
Epoch 143: Loss = 32.5555, NME = 0.0033, Pixel Error = 47.4330
Epoch 144: Loss = 39.6621, NME = 0.0038, Pixel Error = 54.5574
