epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.24967,1.56875,2.20902,1.89161,0.47295,0.21875,0.22772,0.15006,2.27915,3.55372,2.50537,0.000545744,0.000545744,0.000545744
2,6.30518,0.94276,0.63774,1.21684,0.89556,0.90688,0.9373,0.68252,0.96431,1.76021,1.31014,0.00109778,0.00109778,0.00109778
3,9.3188,0.94696,0.64412,1.22556,0.79764,0.86887,0.94885,0.66008,1.06171,4.94323,1.48694,0.00164614,0.00164614,0.00164614
4,12.2788,0.97058,0.61433,1.2579,0.93744,0.89909,0.96049,0.72287,0.91012,0.9368,1.23757,0.0016505,0.0016505,0.0016505
5,15.2598,0.88484,0.52183,1.20596,0.9729,0.9599,0.99242,0.74061,0.90626,0.57831,1.20355,0.001645,0.001645,0.001645
6,18.2382,0.85221,0.45083,1.15205,0.79113,0.82115,0.97693,0.72263,0.96143,1.032,1.21958,0.00163949,0.00163949,0.00163949
7,21.1946,0.85594,0.47488,1.17513,0.90674,0.98681,0.98222,0.73638,0.93619,0.56647,1.1862,0.00163399,0.00163399,0.00163399
8,24.1474,0.80982,0.4469,1.13153,0.96345,0.91964,0.97588,0.75795,0.89602,0.61958,1.16037,0.00162849,0.00162849,0.00162849
9,27.1331,0.79581,0.42277,1.11563,0.9945,0.99554,0.995,0.75596,0.95346,0.43836,1.25411,0.00162299,0.00162299,0.00162299
10,30.1239,0.79105,0.41025,1.11365,0.99846,0.99107,0.99491,0.81738,0.72031,0.39081,1.05104,0.00161749,0.00161749,0.00161749
11,33.1082,0.78825,0.42594,1.10753,0.99511,0.97686,0.99473,0.78447,0.83846,0.41455,1.11141,0.00161199,0.00161199,0.00161199
12,36.0624,0.77434,0.39473,1.08078,0.99853,0.99504,0.995,0.78817,0.89219,0.39785,1.13603,0.00160649,0.00160649,0.00160649
