epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,548.521,0.6563,0.32867,0.90407,0.9984,1,0.995,0.84425,0.72836,0.35651,0.93179,0.00143595,0.00143595,0.00143595
44,560.73,0.68161,0.33895,0.90195,0.99789,1,0.995,0.8276,0.75091,0.36767,0.93052,0.00143045,0.00143045,0.00143045
45,572.749,0.66823,0.33962,0.89769,0.99604,0.99946,0.995,0.8144,0.80524,0.37467,0.95508,0.00142495,0.00142495,0.00142495
46,583.218,0.65794,0.33788,0.90213,0.99834,1,0.995,0.84311,0.70844,0.35123,0.92693,0.00141945,0.00141945,0.00141945
47,595.653,0.66115,0.3354,0.909,0.97486,0.95466,0.9904,0.81872,0.79937,0.46978,0.9647,0.00141395,0.00141395,0.00141395
48,606.788,0.66788,0.34714,0.905,0.99862,1,0.995,0.82484,0.81252,0.35663,0.94937,0.00140845,0.00140845,0.00140845
49,618.359,0.64788,0.32216,0.89,0.99165,0.99734,0.995,0.82518,0.78459,0.38714,0.92671,0.00140295,0.00140295,0.00140295
50,630.612,0.64488,0.32751,0.89619,0.99841,1,0.995,0.83006,0.78529,0.37567,0.94646,0.00139745,0.00139745,0.00139745
51,639.928,0.64394,0.32052,0.89441,0.99867,1,0.995,0.84025,0.7483,0.35155,0.93181,0.00139195,0.00139195,0.00139195
52,651.404,0.6506,0.32584,0.89159,0.9989,1,0.995,0.84479,0.72384,0.35198,0.9239,0.00138644,0.00138644,0.00138644
53,663.68,0.64658,0.32172,0.89626,0.99836,1,0.995,0.85376,0.68977,0.35416,0.91321,0.00138094,0.00138094,0.00138094
54,674.192,0.64872,0.3249,0.89481,0.99835,0.99107,0.99177,0.82728,0.75615,0.38955,0.93045,0.00137544,0.00137544,0.00137544
55,685.592,0.65285,0.32902,0.8886,0.99876,1,0.995,0.82357,0.78325,0.34771,0.95587,0.00136994,0.00136994,0.00136994
56,695.111,0.66489,0.3307,0.90436,0.99793,1,0.995,0.85041,0.74517,0.35052,0.94156,0.00136444,0.00136444,0.00136444
57,706.443,0.66006,0.32082,0.8972,0.997,1,0.995,0.84919,0.68346,0.32699,0.91285,0.00135894,0.00135894,0.00135894
58,717.808,0.6506,0.31503,0.89938,0.99885,1,0.995,0.86167,0.63039,0.33452,0.90381,0.00135344,0.00135344,0.00135344
59,727.631,0.65967,0.32155,0.90062,0.99887,1,0.995,0.84195,0.79836,0.37412,0.97098,0.00134794,0.00134794,0.00134794
60,739.609,0.64429,0.31883,0.89428,0.99591,0.99107,0.99483,0.80919,0.83679,0.37271,0.97449,0.00134244,0.00134244,0.00134244
61,751.693,0.6658,0.31689,0.90923,0.99867,1,0.995,0.82102,0.80187,0.3513,0.96965,0.00133693,0.00133693,0.00133693
62,762.24,0.65523,0.31384,0.90599,0.99656,1,0.995,0.83648,0.74436,0.33923,0.94653,0.00133143,0.00133143,0.00133143
63,774.389,0.64481,0.3142,0.89394,0.99941,1,0.995,0.80245,0.83221,0.3508,0.97146,0.00132593,0.00132593,0.00132593
64,785.218,0.63458,0.31875,0.89412,0.99827,1,0.995,0.83016,0.76989,0.35237,0.95175,0.00132043,0.00132043,0.00132043
65,796.975,0.63723,0.31471,0.89,0.99845,1,0.995,0.82167,0.74238,0.33232,0.94069,0.00131493,0.00131493,0.00131493
66,808.426,0.62395,0.30575,0.88278,0.99107,0.99912,0.995,0.84126,0.73485,0.3378,0.92616,0.00130943,0.00130943,0.00130943
67,817.919,0.62565,0.30365,0.87522,0.99341,0.99935,0.995,0.82164,0.80271,0.35128,0.94301,0.00130393,0.00130393,0.00130393
68,829.662,0.62069,0.30018,0.88353,0.99877,1,0.995,0.83262,0.76546,0.32819,0.93583,0.00129843,0.00129843,0.00129843
69,841.19,0.63451,0.30578,0.89283,0.99834,1,0.995,0.82813,0.80664,0.35981,0.95164,0.00129293,0.00129293,0.00129293
70,851.35,0.62467,0.31076,0.88957,0.99893,1,0.995,0.81497,0.80186,0.34415,0.95961,0.00128742,0.00128742,0.00128742
71,862.98,0.62361,0.31053,0.8856,0.99838,1,0.995,0.87085,0.68951,0.33526,0.91531,0.00128192,0.00128192,0.00128192
72,875.08,0.61083,0.30146,0.88688,0.9985,1,0.995,0.83789,0.77428,0.34128,0.93246,0.00127642,0.00127642,0.00127642
73,885.174,0.61694,0.30426,0.88807,0.99893,1,0.995,0.82781,0.80253,0.34171,0.94801,0.00127092,0.00127092,0.00127092
74,897.014,0.622,0.30485,0.88765,0.99655,0.99902,0.995,0.83166,0.75724,0.36111,0.9376,0.00126542,0.00126542,0.00126542
75,907.374,0.62104,0.30312,0.88169,0.99186,0.97976,0.9909,0.83284,0.72701,0.41216,0.94787,0.00125992,0.00125992,0.00125992
76,919.257,0.631,0.30687,0.89631,0.99879,1,0.995,0.85184,0.70371,0.34125,0.92725,0.00125442,0.00125442,0.00125442
77,930.94,0.63846,0.30456,0.9048,0.99842,1,0.995,0.81661,0.77927,0.34586,0.94114,0.00124892,0.00124892,0.00124892
78,941.62,0.63635,0.30842,0.89229,0.99473,0.9992,0.995,0.83952,0.76936,0.33871,0.9298,0.00124342,0.00124342,0.00124342
79,953.821,0.60327,0.29585,0.87793,0.99818,1,0.995,0.84643,0.71441,0.31349,0.91303,0.00123791,0.00123791,0.00123791
80,965.792,0.60849,0.29744,0.87494,0.99882,1,0.995,0.8302,0.75273,0.33063,0.91449,0.00123241,0.00123241,0.00123241
81,975.772,0.61616,0.29964,0.8841,0.99847,1,0.995,0.82986,0.77454,0.3402,0.93341,0.00122691,0.00122691,0.00122691
82,987.893,0.6133,0.29989,0.87924,0.99879,1,0.995,0.83987,0.76155,0.32478,0.93011,0.00122141,0.00122141,0.00122141
83,998.594,0.61313,0.3041,0.88847,0.99874,1,0.995,0.8461,0.7167,0.33856,0.92038,0.00121591,0.00121591,0.00121591
84,1010.77,0.61648,0.30834,0.88344,0.99667,0.99965,0.995,0.85687,0.69862,0.32753,0.90865,0.00121041,0.00121041,0.00121041
