Epoch 1: Loss = 10616.2572, NME = 0.2376, Pixel Error = 280.3722, Val Loss = 10987.2461, Val NME = 0.2452, Val Pixel Error = 280.8921
Epoch 2: Loss = 8394.4495, NME = 0.2107, Pixel Error = 248.5703, Val Loss = 6786.0757, Val NME = 0.1921, Val Pixel Error = 219.9869
Epoch 3: Loss = 4863.7692, NME = 0.1587, Pixel Error = 187.2079, Val Loss = 3213.9143, Val NME = 0.1310, Val Pixel Error = 150.0082
Epoch 4: Loss = 1586.9303, NME = 0.0870, Pixel Error = 102.4468, Val Loss = 425.4943, Val NME = 0.0465, Val Pixel Error = 52.9653
Epoch 5: Loss = 168.2400, NME = 0.0265, Pixel Error = 31.0318, Val Loss = 84.4791, Val NME = 0.0196, Val Pixel Error = 22.6110
Epoch 6: Loss = 75.6872, NME = 0.0181, Pixel Error = 21.2561, Val Loss = 755.6969, Val NME = 0.0630, Val Pixel Error = 72.6895
Epoch 7: Loss = 69.8693, NME = 0.0174, Pixel Error = 20.4787, Val Loss = 355.2735, Val NME = 0.0426, Val Pixel Error = 48.5859
Epoch 8: Loss = 64.9700, NME = 0.0168, Pixel Error = 19.7118, Val Loss = 121.3199, Val NME = 0.0235, Val Pixel Error = 27.1399
Epoch 9: Loss = 62.8391, NME = 0.0165, Pixel Error = 19.3269, Val Loss = 97.8064, Val NME = 0.0213, Val Pixel Error = 24.5738
Epoch 10: Loss = 59.0530, NME = 0.0159, Pixel Error = 18.6915, Val Loss = 418.8073, Val NME = 0.0468, Val Pixel Error = 53.9876
Epoch 11: Loss = 56.3160, NME = 0.0156, Pixel Error = 18.3035, Val Loss = 128.4355, Val NME = 0.0253, Val Pixel Error = 28.7103
Epoch 12: Loss = 50.4827, NME = 0.0148, Pixel Error = 17.3159, Val Loss = 70.2754, Val NME = 0.0181, Val Pixel Error = 20.7492
Epoch 13: Loss = 45.0959, NME = 0.0140, Pixel Error = 16.3636, Val Loss = 110.5107, Val NME = 0.0226, Val Pixel Error = 26.4461
Epoch 14: Loss = 40.9055, NME = 0.0133, Pixel Error = 15.5706, Val Loss = 31.4932, Val NME = 0.0122, Val Pixel Error = 14.0240
Epoch 15: Loss = 36.8513, NME = 0.0126, Pixel Error = 14.7213, Val Loss = 194.2743, Val NME = 0.0309, Val Pixel Error = 36.0474
Epoch 16: Loss = 33.5468, NME = 0.0120, Pixel Error = 14.0768, Val Loss = 164.7378, Val NME = 0.0289, Val Pixel Error = 33.0748
Epoch 17: Loss = 28.5776, NME = 0.0110, Pixel Error = 12.9302, Val Loss = 85.7339, Val NME = 0.0206, Val Pixel Error = 23.4296
Epoch 18: Loss = 27.2378, NME = 0.0108, Pixel Error = 12.5760, Val Loss = 60.8361, Val NME = 0.0171, Val Pixel Error = 19.4681
Epoch 19: Loss = 24.7036, NME = 0.0104, Pixel Error = 12.1243, Val Loss = 147.0057, Val NME = 0.0273, Val Pixel Error = 31.2172
Epoch 20: Loss = 23.7203, NME = 0.0101, Pixel Error = 11.8582, Val Loss = 109.4620, Val NME = 0.0235, Val Pixel Error = 26.5938
Epoch 21: Loss = 20.1694, NME = 0.0093, Pixel Error = 10.9362, Val Loss = 27.9423, Val NME = 0.0112, Val Pixel Error = 12.7207
Epoch 22: Loss = 19.5898, NME = 0.0092, Pixel Error = 10.8027, Val Loss = 33.5606, Val NME = 0.0119, Val Pixel Error = 13.6462
Epoch 23: Loss = 18.3667, NME = 0.0089, Pixel Error = 10.4552, Val Loss = 20.4969, Val NME = 0.0094, Val Pixel Error = 10.8726
Epoch 24: Loss = 17.9152, NME = 0.0089, Pixel Error = 10.3492, Val Loss = 48.3270, Val NME = 0.0150, Val Pixel Error = 17.0076
Epoch 25: Loss = 17.0732, NME = 0.0087, Pixel Error = 10.1286, Val Loss = 44.9774, Val NME = 0.0143, Val Pixel Error = 16.4201
Epoch 26: Loss = 16.1595, NME = 0.0084, Pixel Error = 9.8426, Val Loss = 17.9230, Val NME = 0.0089, Val Pixel Error = 10.3210
Epoch 27: Loss = 16.2780, NME = 0.0085, Pixel Error = 9.9127, Val Loss = 22.9694, Val NME = 0.0101, Val Pixel Error = 11.2784
Epoch 28: Loss = 15.9766, NME = 0.0084, Pixel Error = 9.8082, Val Loss = 16.9306, Val NME = 0.0085, Val Pixel Error = 9.7047
Epoch 29: Loss = 14.0638, NME = 0.0079, Pixel Error = 9.2049, Val Loss = 12.4307, Val NME = 0.0074, Val Pixel Error = 8.5079
Epoch 30: Loss = 13.8953, NME = 0.0078, Pixel Error = 9.1779, Val Loss = 24.3399, Val NME = 0.0106, Val Pixel Error = 12.0331
Epoch 31: Loss = 13.3225, NME = 0.0077, Pixel Error = 8.9843, Val Loss = 13.8669, Val NME = 0.0076, Val Pixel Error = 8.6959
Epoch 32: Loss = 13.2325, NME = 0.0076, Pixel Error = 8.9323, Val Loss = 14.8363, Val NME = 0.0081, Val Pixel Error = 9.2227
Epoch 33: Loss = 12.3010, NME = 0.0074, Pixel Error = 8.6521, Val Loss = 29.0425, Val NME = 0.0114, Val Pixel Error = 13.2537
Epoch 34: Loss = 12.7252, NME = 0.0075, Pixel Error = 8.8106, Val Loss = 15.0002, Val NME = 0.0081, Val Pixel Error = 9.3079
Epoch 35: Loss = 12.5695, NME = 0.0075, Pixel Error = 8.7774, Val Loss = 16.7571, Val NME = 0.0090, Val Pixel Error = 10.3329
Epoch 36: Loss = 11.6837, NME = 0.0072, Pixel Error = 8.4873, Val Loss = 18.8897, Val NME = 0.0089, Val Pixel Error = 10.2744
Epoch 37: Loss = 12.0040, NME = 0.0073, Pixel Error = 8.5537, Val Loss = 11.3340, Val NME = 0.0069, Val Pixel Error = 7.8811
Epoch 38: Loss = 11.1261, NME = 0.0070, Pixel Error = 8.2480, Val Loss = 16.3238, Val NME = 0.0087, Val Pixel Error = 10.0738
Epoch 39: Loss = 11.5831, NME = 0.0072, Pixel Error = 8.4236, Val Loss = 15.6732, Val NME = 0.0084, Val Pixel Error = 9.4665
Epoch 40: Loss = 10.6950, NME = 0.0069, Pixel Error = 8.0561, Val Loss = 13.0481, Val NME = 0.0075, Val Pixel Error = 8.5438
Epoch 41: Loss = 10.6209, NME = 0.0068, Pixel Error = 8.0133, Val Loss = 11.1709, Val NME = 0.0072, Val Pixel Error = 8.1657
Epoch 42: Loss = 10.8171, NME = 0.0070, Pixel Error = 8.1523, Val Loss = 11.5665, Val NME = 0.0070, Val Pixel Error = 8.0640
Epoch 43: Loss = 10.8501, NME = 0.0069, Pixel Error = 8.1644, Val Loss = 11.5124, Val NME = 0.0072, Val Pixel Error = 8.2349
Epoch 44: Loss = 10.0295, NME = 0.0067, Pixel Error = 7.8023, Val Loss = 16.7614, Val NME = 0.0086, Val Pixel Error = 9.8399
Epoch 45: Loss = 9.8989, NME = 0.0067, Pixel Error = 7.7889, Val Loss = 12.0023, Val NME = 0.0070, Val Pixel Error = 8.0149
Epoch 46: Loss = 9.7871, NME = 0.0066, Pixel Error = 7.7613, Val Loss = 14.5225, Val NME = 0.0080, Val Pixel Error = 9.1854
Epoch 47: Loss = 9.2653, NME = 0.0064, Pixel Error = 7.5234, Val Loss = 11.8241, Val NME = 0.0070, Val Pixel Error = 8.1520
Epoch 48: Loss = 9.6658, NME = 0.0066, Pixel Error = 7.7129, Val Loss = 15.7907, Val NME = 0.0082, Val Pixel Error = 9.3415
Epoch 49: Loss = 9.6869, NME = 0.0066, Pixel Error = 7.7447, Val Loss = 15.4576, Val NME = 0.0084, Val Pixel Error = 9.5741
Epoch 50: Loss = 9.2439, NME = 0.0064, Pixel Error = 7.5634, Val Loss = 12.0461, Val NME = 0.0076, Val Pixel Error = 8.6693
Epoch 51: Loss = 10.0043, NME = 0.0067, Pixel Error = 7.8368, Val Loss = 10.2345, Val NME = 0.0066, Val Pixel Error = 7.6004
Epoch 52: Loss = 8.9617, NME = 0.0063, Pixel Error = 7.4134, Val Loss = 12.5002, Val NME = 0.0074, Val Pixel Error = 8.3611
Epoch 53: Loss = 8.5994, NME = 0.0062, Pixel Error = 7.2774, Val Loss = 10.6622, Val NME = 0.0068, Val Pixel Error = 7.8851
Epoch 54: Loss = 8.6849, NME = 0.0063, Pixel Error = 7.3559, Val Loss = 11.8067, Val NME = 0.0072, Val Pixel Error = 8.2302
Epoch 55: Loss = 8.7405, NME = 0.0062, Pixel Error = 7.3212, Val Loss = 11.7098, Val NME = 0.0070, Val Pixel Error = 8.0072
Epoch 56: Loss = 8.9128, NME = 0.0064, Pixel Error = 7.4928, Val Loss = 10.8850, Val NME = 0.0070, Val Pixel Error = 7.9905
Epoch 57: Loss = 8.0237, NME = 0.0060, Pixel Error = 7.0192, Val Loss = 13.1003, Val NME = 0.0076, Val Pixel Error = 8.6910
Epoch 58: Loss = 8.3034, NME = 0.0061, Pixel Error = 7.1685, Val Loss = 12.5748, Val NME = 0.0074, Val Pixel Error = 8.4296
