Epoch 1: Loss = 4.4989, NME = 0.0653, Pixel Error = 76.1283, Val Loss = 3.5787, Val NME = 0.0567, Val Pixel Error = 64.0197
Epoch 2: Loss = 3.0496, NME = 0.0421, Pixel Error = 48.8609, Val Loss = 2.3584, Val NME = 0.0247, Val Pixel Error = 27.8808
Epoch 3: Loss = 2.5422, NME = 0.0245, Pixel Error = 28.6553, Val Loss = 2.1897, Val NME = 0.0163, Val Pixel Error = 18.6861
Epoch 4: Loss = 2.4098, NME = 0.0213, Pixel Error = 24.9538, Val Loss = 2.1181, Val NME = 0.0151, Val Pixel Error = 17.4054
Epoch 5: Loss = 2.2588, NME = 0.0180, Pixel Error = 21.1421, Val Loss = 1.9350, Val NME = 0.0121, Val Pixel Error = 14.0021
Epoch 6: Loss = 1.9856, NME = 0.0132, Pixel Error = 15.4558, Val Loss = 1.6771, Val NME = 0.0098, Val Pixel Error = 11.2850
Epoch 7: Loss = 1.6853, NME = 0.0096, Pixel Error = 11.1670, Val Loss = 1.4902, Val NME = 0.0081, Val Pixel Error = 9.2716
Epoch 8: Loss = 1.4834, NME = 0.0080, Pixel Error = 9.3104, Val Loss = 1.4288, Val NME = 0.0078, Val Pixel Error = 8.8248
Epoch 9: Loss = 1.3486, NME = 0.0071, Pixel Error = 8.2497, Val Loss = 1.2300, Val NME = 0.0064, Val Pixel Error = 7.2626
Epoch 10: Loss = 1.2395, NME = 0.0063, Pixel Error = 7.3840, Val Loss = 1.1622, Val NME = 0.0059, Val Pixel Error = 6.7085
Epoch 11: Loss = 1.1729, NME = 0.0060, Pixel Error = 6.9969, Val Loss = 1.1673, Val NME = 0.0059, Val Pixel Error = 6.7330
Epoch 12: Loss = 1.1118, NME = 0.0056, Pixel Error = 6.5208, Val Loss = 1.1175, Val NME = 0.0057, Val Pixel Error = 6.5555
Epoch 13: Loss = 1.0551, NME = 0.0053, Pixel Error = 6.2212, Val Loss = 1.1181, Val NME = 0.0057, Val Pixel Error = 6.4527
Epoch 14: Loss = 1.0083, NME = 0.0050, Pixel Error = 5.7939, Val Loss = 1.1154, Val NME = 0.0056, Val Pixel Error = 6.4146
Epoch 15: Loss = 0.9720, NME = 0.0048, Pixel Error = 5.6397, Val Loss = 1.1050, Val NME = 0.0054, Val Pixel Error = 6.2155
Epoch 16: Loss = 0.9417, NME = 0.0047, Pixel Error = 5.4129, Val Loss = 1.1114, Val NME = 0.0056, Val Pixel Error = 6.4509
Epoch 17: Loss = 0.9071, NME = 0.0045, Pixel Error = 5.2276, Val Loss = 1.1652, Val NME = 0.0056, Val Pixel Error = 6.3758
Epoch 18: Loss = 0.8771, NME = 0.0043, Pixel Error = 5.0496, Val Loss = 1.2409, Val NME = 0.0060, Val Pixel Error = 6.8127
Epoch 19: Loss = 0.8393, NME = 0.0041, Pixel Error = 4.8022, Val Loss = 1.2660, Val NME = 0.0059, Val Pixel Error = 6.7630
Epoch 20: Loss = 0.8163, NME = 0.0041, Pixel Error = 4.7318, Val Loss = 1.1507, Val NME = 0.0053, Val Pixel Error = 6.0003
